meet,"충족시키다, 만나다",successful,"합격한, 성공한"
facility,시설,professional,"전문가, 숙련자, 능숙한"
highly,"매우, 대단히, 강(력)하게",experience,"경력, 경험(하다), 겪다"
recruit,"모집하다, 뽑다",promising ,"(전도)유망한, 장래성 있는"
applicant,"지원자, 신청자",acievement,"성과, 업적, 성취"
expertise,전문 지식,industry,"업계, 산업"
submit,제출하다,candidate,"지원자, 후보자"
vacant,"공석인, 비어있는",reference,"추천서, 추천인, 참조, 참고, 참고문헌"
eligible,자격이 있는,employment,"채용, 취업"
carefully,"꼼꼼히, 조심스럽게",resume ,"이력서, 재개하다"
impressive,인상적인,skilled,"노련한, 숙련된"
exceptional,"뛰어난, 예외적인",opening,"공석, 일자리, 개장, 개업"
position,"(일)자리, 직위, 입장, 위치",hire,"채용하다, 고용하다"
requirement,"필수 요건, 자격, 필요",training,"교육, 훈련"
extensive,"폭넓은, 광범위한",degree,"학위, 수준, 정도"
enthusiasm,"열정, 열광",promanent,"정규직의, 영구적인"
identification,"신분 증명서, 신원 확인",prospective,"장래의, 유망한"
qualified,"자격이 있는, 적격의",certificate,"자격증, 증명서"
review,"검토(하다), 비평(하다), 논쟁, 후기",interview,"면접하다, 면접"
procedure,절차,occupation,"직업, 일"
